regulation_id,requirement_id,section_id,description,requirement_type,is_quantitative,applies_to_loan_type,severity
APG-223,APG-223-REQ-001,APG-223-S3,"Where residential mortgage lending is material, the Board should take reasonable steps to satisfy itself as to the level of risk and effectiveness of the risk management framework, including addressing it in the risk appetite, risk management strategy and business plans.",governance,False,residential_secured,expected
APG-223,APG-223-REQ-002,APG-223-S3,"The Board should seek assurances from senior management that the approved risk appetite is communicated to relevant persons and appropriately reflected in policies and procedures, and that a robust management information system is in place.",governance,False,residential_secured,expected
APG-223,APG-223-REQ-003,APG-223-S3,"Where residential mortgage lending is material, the risk appetite statement should specifically address the residential mortgage portfolio and quantifiable risk limits should be set for various aspects of the portfolio.",governance,False,residential_secured,expected
APG-223,APG-223-REQ-004,APG-223-S3,"A prudent ADI should set risk limits covering loan types with differing risk profiles, origination channels, geographic concentrations, serviceability criteria, LVR limits, LMI use, special circumstance loans, override frequency, default/arrears rates and non-lending losses.",governance,False,residential_secured,recommended
APG-223,APG-223-REQ-005,APG-223-S3,"The risk management framework should clearly specify whether risk limits are hard or soft limits, and APRA would be concerned if risk limits were frequently redefined in a manner that obscures limit breaches or leads to greater risk-taking.",governance,False,residential_secured,recommended
APG-223,APG-223-REQ-006,APG-223-S3,"Senior management should monitor compliance with material policies, procedures and risk limits and report material breaches or overrides to the Board; where limits are routinely breached, the Board and senior management should consider whether this reflects a less prudent lending culture.",monitoring,False,residential_secured,recommended
APG-223,APG-223-REQ-007,APG-223-S3,"Portfolios with higher inherent risk should be accompanied by stronger controls including increased senior management oversight, more granular reporting, increased risk management and internal audit reviews, stronger default management and provisioning and capital levels reflective of portfolio risk.",governance,False,residential_secured,recommended
APG-223,APG-223-REQ-008,APG-223-S3,"The risk management framework applicable to the residential mortgage lending portfolio should be subject to a comprehensive review by an operationally independent and competent person at least every three years, with results reported to the Board.",governance,False,residential_secured,recommended
APG-223,APG-223-REQ-009,APG-223-S3,A prudent ADI should conduct a periodic assessment of compliance with responsible lending conduct obligations to ensure it does not expose itself to significant financial loss.,monitoring,False,residential_secured,recommended
APG-223,APG-223-REQ-010,APG-223-S3,"A prudent ADI with material exposure to residential mortgage lending should invest in management information systems that capture risk metrics at the point of application and throughout the life of the loan, and provide analytical capability to monitor and report key metrics against risk appetite.",monitoring,False,residential_secured,recommended
APG-223,APG-223-REQ-011,APG-223-S3,"A robust management information system should provide good quality information covering portfolio composition, performance reporting, compliance against risk limits, broker performance, override exception reporting, serviceability buffers, arrears, valuation changes, LMI tracking, provisioning trends and audit findings.",reporting,False,residential_secured,recommended
APG-223,APG-223-REQ-012,APG-223-S3,"Where the residential mortgage lending portfolio is material, a prudent ADI should apply its remuneration policy to persons involved in residential mortgage lending, including remuneration of third parties such as mortgage broker firms responsible for originating a material proportion of the portfolio.",governance,False,residential_secured,recommended
